250

wmv	flv	1
('wmv', 'easier', 'flv', 'usability', '2562', 'i found the production of wmv much better and easier than flv because all windows flv encoders i tried are not really good and stable whereas pretty much every tool can natively output wmv\n')

testng	junit	6
('junit', 'more direct', 'testng', '', '1686834', 'junit is more direct and simpel to use if you start to learn java testng has more features but maybe is more complex\n')
('testng', 'more configurable', 'junit', '', '6671', 'testng strives to be much more configurable than junit but in the end they both work equally well\n')
('testng', 'more flexible', 'junit', 'usability', '1823057', 'if you have to do a lot of this honestly testng is more flexible but you can absolutely get it done in junit\n')
('testng', 'much friendlier', 'junit', '', '811937', 'testng is much friendlier to this paradigm than junit though\n')
('testng', 'more flexible', 'junit', 'usability', '430883', 'testng is more flexible than junit and have multiple advantages like support for parallel testing for example\n')
('junit', 'better solution', 'testng', '', '913928', 'if there is a junit extension or similar framework that provides a better solution than testng then please let me know\n')

listview	gridview	2
('listview', 'more lightweight', 'gridview', 'memory', '1879340', 'regarding comparison between gridview and listview my experience is that listview is more lightweight as compared to gridview\n')
('listview', 'better', 'gridview', '', '10809', 'listview much better than the gridview dataview in that they let you write out clean html\n')

gethashcode	equals	1
('gethashcode', 'quicker', 'equals', '', '16381', 'gethashcode should be a lot quicker than equals but doesn t need to be unique\n')

illegalargumentexception	nullpointerexception	2
('illegalargumentexception', 'more specific', 'nullpointerexception', '', '22074', 'in my mind illegalargumentexception seems more specific than using a nullpointerexception since it s telling me that the problem was with an argument i passed to the method and not with a value that may have been generated while performing the method\n')
('nullpointerexception', 'longer', 'illegalargumentexception', '', '199290', 'decoding nullpointerexception is going to take a bit longer than illegalargumentexception filepath must be supplied or whatever\n')

goto	break	2
('goto', 'simpler', 'break', 'usability', '24476', 'if you re in a nested loop and need to break out of all loops a goto can make this much cleaner and simpler than break statements and if-checks\n')
('break', 'better', 'goto', '', '723329', 'labeled break like in java would be better than goto for this purpose\n')

svn	perforce	4
('svn', 'more intuitive', 'perforce', '', '26851', 'if anything i find working with svn easier and more intuitive than perforce\n')
('perforce', 'more comfortable', 'svn', 'usability', '26851', 'perforce does have support for many other oses but our non-windows devs feel more comfortable with svn too\n')
('perforce', 'more advanced', 'svn', '', '1768520', 'perforce offers more advanced branching and merging capabilities than svn\n')
('perforce', 'better', 'svn', '', '44752', 'make sure you re using a source control system that supports branching and merging i ve had experience with perforce and svn and while perforce is better svn is free\n')

postgresql	mysql	40
('postgresql', 'much better', 'mysql', '', '201950', 'postgresql gets much better performance and this is coming from a former mysql partisan\n')
('postgresql', 'more tuning', 'mysql', '', '1162378', 'postgresql requires more tuning than mysql to achieve optimal performance\n')
('postgresql', 'much more', 'mysql', '', '1338597', 'postgresql is much more complete and solid and will much better support complex queries and their optimization while mysql may shine in terms of retrieval speed for extremely simple queries\n')
('postgresql', 'slower', 'mysql', 'performance', '1841772', 'i ve found that postgresql is in my expirience is slower as mysql\n')
('mysql', 'worse', 'postgresql', '', '52179', 'i just checked the timings using mysql 5 and they are slightly worse than postgresql\n')
('postgresql', 'more sane', 'mysql', '', '761581', 'since postgresql is a lot more sane than mysql there are not that many tricks to report on\n')
('postgresql', 'bigger', 'mysql', 'memory', '1926885', 'b use indexes - postgresql has bigger repertoar of indexes then mysql so use it - there are gist gin indexes\n')
('mysql', 'more resistant', 'postgresql', '', '2221787', 'the question is is mysql somehow more resistant than postgresql to sql injection attack under the perl dbi and why might this be the case\n')
('postgresql', 'better', 'mysql', '', '74931', 'with correct locking for safety reasons and heavy concurrent use postgresql performed better than mysql\n')
('postgresql', 'fewer', 'mysql', '', '1270393', 'traditionally postgresql has had fewer security issues than mysql but they are both doing very well on that\n')
('postgresql', 'more compliant', 'mysql', '', '259460', 'postgresql is more compliant but if you re comfortable with mysql and you re using an orm you should probably use that\n')
('postgresql', 'performance probably better', 'mysql', 'performance', '846356', 'as i said postgresql is far superior and i hate mucking with mysql s bizarre bugs and i think that overall postgresql performance is probably better than mysql for any even slightly complicated query\n')
('postgresql', 'more correct', 'mysql', '', '27439', 'from how i understand it postgresql is a more correct database implementation while mysql is less correct less compliant but faster\n')
('mysql', 'faster', 'postgresql', 'performance', '205364', 'mysql i am told can be optimized to do faster reads than postgresql but both are pretty ridiculously fast in terms of # transactions sec they support and it doesn t sound like that s your problem\n')
('mysql', 'faster', 'postgresql', 'performance', '953814', 'mysql s version is apparently marginally faster than postgresql but lacks some of the more advanced spatial features therefore it s pretty much limited to finding records that match a certain range of coordinates\n')
('postgresql', 'more sql', 'mysql', '', '1769414', 'postgresql is more sql compliant than mysql\n')
('postgresql', 'more tricks', 'mysql', '', '957655', 'in general postgresql knows more tricks for how to optimize complicated queries than the mysql optimizer does but it also relies heavily on your having given the optimizer enough data to work with\n')
('postgresql', 'faster', 'mysql', 'performance', '1373625', 'postgresql is faster than mysql s innodb\n')
('postgresql', 'already slower', 'mysql', 'performance', '1162395', 'postgresql is already slower than mysql up to a certain point it is actually faster when you have a ridiculously large database\n')
('postgresql', 'way more useful', 'mysql', 'usability', '1630987', 'explain in postgresql is way more useful than in mysql\n')
('postgresql', 'way more', 'mysql', '', '1630987', 'explain in postgresql is way more useful than in mysql\n')
('postgresql', 'fewer', 'mysql', '', '1374694', 'and postgresql has fewer experienced administrators than the big databases and mysql which i believe contributes to the reputation\n')
('postgresql', 'slower', 'mysql', 'performance', '1162395', 'postgresql is already slower than mysql up to a certain point it is actually faster when you have a ridiculously large database\n')
('postgresql', 'more simple', 'mysql', '', '1546912', 'postgresql license bsd is undoubtedly more simple than mysql s\n')
('mysql', 'easier', 'postgresql', 'usability', '2193943', 'mysql is easier than postgresql but it doesn t really matter either way\n')
('postgresql', 'better', 'mysql', '', '2000205', 'also you might take the time to compare postgresql and see if there is something about it that meets your needs as well or better than mysql\n')
('mysql', 'more widely', 'postgresql', '', '1311750', 'mysql is more widely supported and a little easier to use but postgresql has some very cool features and functionality that s worth taking a gander at\n')
('postgresql', 'better', 'mysql', '', '1373566', 'some people were saying that postgresql is better for security purposes whereas mysql is becoming more feature rich.\n')
('mysql', 'not less', 'postgresql', '', '1922486', 'mysql is not less complicated that postgresql -- they re the same thing\n')
('postgresql', 'generally better', 'mysql', '', '1795117', 'now i m not sure if i d say postgresql is generally better than mysql -- there are certainly things that mysql does much better and so it certainly has its uses -- but these are a few things i absolutely love about it\n')
('postgresql', 'better', 'mysql', '', '1144979', 'fyi postgresql scales better than mysql on multi-processor overlapping requests from a review i was reading a few months back sorry no link\n')
('postgresql', 'older', 'mysql', '', '2277052', 'postgresql is older than mysql so it might have influenced them\n')
('postgresql', 'better', 'mysql', '', '1467079', 'if you need spatial data capabilities postgis with postgresql is better than mysql\n')
